,Year,Total,Code,Park
1171,2006,1426068.0,HALE,Haleakala National Park
1172,2005,1474681.0,HALE,Haleakala National Park
1173,2004,1455477.0,HALE,Haleakala National Park
1174,2003,1444668.0,HALE,Haleakala National Park
1175,2002,1521080.0,HALE,Haleakala National Park
1176,2001,1410974.0,HALE,Haleakala National Park
1177,2000,1620083.0,HALE,Haleakala National Park
1178,1999,1963187.0,HALE,Haleakala National Park
1179,1998,1476842.0,HALE,Haleakala National Park
1180,1997,1673561.0,HALE,Haleakala National Park
1181,1996,1553344.0,HALE,Haleakala National Park
1182,1995,1594596.0,HALE,Haleakala National Park
1183,1994,1527329.0,HALE,Haleakala National Park
1184,1993,1317433.0,HALE,Haleakala National Park
1185,1992,1183124.0,HALE,Haleakala National Park
1186,1991,1228332.0,HALE,Haleakala National Park
1187,1990,1260601.0,HALE,Haleakala National Park
1188,1989,1367761.0,HALE,Haleakala National Park
1189,1988,1314683.0,HALE,Haleakala National Park
1190,1987,1333900.0,HALE,Haleakala National Park
1191,1986,1281219.0,HALE,Haleakala National Park
1192,1985,1194651.0,HALE,Haleakala National Park
1193,1984,1003821.0,HALE,Haleakala National Park
1194,1983,864289.0,HALE,Haleakala National Park
1195,1982,771762.0,HALE,Haleakala National Park
1196,1981,631684.0,HALE,Haleakala National Park
1197,1980,560238.0,HALE,Haleakala National Park
1198,1979,673955.0,HALE,Haleakala National Park
1199,2019,410100.0,CAVE,Carlsbad Caverns National Park
1200,2018,465912.0,CAVE,Carlsbad Caverns National Park
1201,2017,520026.0,CAVE,Carlsbad Caverns National Park
1202,2016,466773.0,CAVE,Carlsbad Caverns National Park
1203,2015,445720.0,CAVE,Carlsbad Caverns National Park
1204,2014,397309.0,CAVE,Carlsbad Caverns National Park
1205,2013,388566.0,CAVE,Carlsbad Caverns National Park
1206,2012,381058.0,CAVE,Carlsbad Caverns National Park
1207,2011,365000.0,CAVE,Carlsbad Caverns National Park
1208,2010,428524.0,CAVE,Carlsbad Caverns National Park
1209,2009,432639.0,CAVE,Carlsbad Caverns National Park
1210,2008,400381.0,CAVE,Carlsbad Caverns National Park
1211,2007,409560.0,CAVE,Carlsbad Caverns National Park
1212,2006,407367.0,CAVE,Carlsbad Caverns National Park
1213,2005,413786.0,CAVE,Carlsbad Caverns National Park
1214,2004,419599.0,CAVE,Carlsbad Caverns National Park
1215,2003,457631.0,CAVE,Carlsbad Caverns National Park
1216,2002,476259.0,CAVE,Carlsbad Caverns National Park
1217,2001,455621.0,CAVE,Carlsbad Caverns National Park
1218,2000,469303.0,CAVE,Carlsbad Caverns National Park
1219,1999,514418.0,CAVE,Carlsbad Caverns National Park
1220,1998,522076.0,CAVE,Carlsbad Caverns National Park
1221,1997,540797.0,CAVE,Carlsbad Caverns National Park
1222,1996,557217.0,CAVE,Carlsbad Caverns National Park
1223,1995,588609.0,CAVE,Carlsbad Caverns National Park
1224,1994,617087.0,CAVE,Carlsbad Caverns National Park
1225,1993,687161.0,CAVE,Carlsbad Caverns National Park
1226,1992,688742.0,CAVE,Carlsbad Caverns National Park
1227,1991,679450.0,CAVE,Carlsbad Caverns National Park
1228,1990,747016.0,CAVE,Carlsbad Caverns National Park
1229,1989,792378.0,CAVE,Carlsbad Caverns National Park
1230,1988,786135.0,CAVE,Carlsbad Caverns National Park
1231,1987,781300.0,CAVE,Carlsbad Caverns National Park
1232,1986,752552.0,CAVE,Carlsbad Caverns National Park
1233,1985,732482.0,CAVE,Carlsbad Caverns National Park
1234,1984,712989.0,CAVE,Carlsbad Caverns National Park
1235,1983,712247.0,CAVE,Carlsbad Caverns National Park
1236,1982,781963.0,CAVE,Carlsbad Caverns National Park
1237,1981,771766.0,CAVE,Carlsbad Caverns National Park
1238,1980,672963.0,CAVE,Carlsbad Caverns National Park
1239,1979,721647.0,CAVE,Carlsbad Caverns National Park
1240,2019,4316563.0,ZION,Zion National Park
1241,2018,4320033.0,ZION,Zion National Park
1242,2017,4504812.0,ZION,Zion National Park
1243,2016,4295127.0,ZION,Zion National Park
1244,2015,3648846.0,ZION,Zion National Park
1245,2014,3189696.0,ZION,Zion National Park
1246,2013,2807387.0,ZION,Zion National Park
1247,2012,2973607.0,ZION,Zion National Park
1248,2011,2825505.0,ZION,Zion National Park
1249,2010,2665972.0,ZION,Zion National Park
1250,2009,2735402.0,ZION,Zion National Park
1251,2008,2690154.0,ZION,Zion National Park
1252,2007,2657281.0,ZION,Zion National Park
1253,2006,2567350.0,ZION,Zion National Park
1254,2005,2586665.0,ZION,Zion National Park
1255,2004,2677342.0,ZION,Zion National Park
1256,2003,2458792.0,ZION,Zion National Park
1257,2002,2592545.0,ZION,Zion National Park
1258,2001,2217779.0,ZION,Zion National Park
1259,2000,2432348.0,ZION,Zion National Park
1260,1999,2449664.0,ZION,Zion National Park
1261,1998,2370048.0,ZION,Zion National Park
1262,1997,2445534.0,ZION,Zion National Park
1263,1996,2498001.0,ZION,Zion National Park
1264,1995,2430162.0,ZION,Zion National Park
1265,1994,2270871.0,ZION,Zion National Park
1266,1993,2392580.0,ZION,Zion National Park
1267,1992,2390626.0,ZION,Zion National Park
1268,1991,2236997.0,ZION,Zion National Park
1269,1990,2102400.0,ZION,Zion National Park
1270,1989,1998856.0,ZION,Zion National Park
1271,1988,1948332.0,ZION,Zion National Park
1272,1987,1777619.0,ZION,Zion National Park
1273,1986,1670503.0,ZION,Zion National Park
1274,1985,1503272.0,ZION,Zion National Park
1275,1984,1377254.0,ZION,Zion National Park
1276,1983,1273030.0,ZION,Zion National Park
1277,1982,1246290.0,ZION,Zion National Park
1278,1981,1288808.0,ZION,Zion National Park
1279,1980,1123846.0,ZION,Zion National Park
1280,1979,1040528.0,ZION,Zion National Park
1281,2019,691661.0,THRO,Theodore Roosevelt National Park
1282,2018,749389.0,THRO,Theodore Roosevelt National Park
1283,2017,708003.0,THRO,Theodore Roosevelt National Park
1284,2016,753880.0,THRO,Theodore Roosevelt National Park
1285,2015,580033.0,THRO,Theodore Roosevelt National Park
1286,2014,559580.0,THRO,Theodore Roosevelt National Park
1287,2013,545090.0,THRO,Theodore Roosevelt National Park
1288,2012,640555.0,THRO,Theodore Roosevelt National Park
1289,2011,563407.0,THRO,Theodore Roosevelt National Park
1290,2010,623748.0,THRO,Theodore Roosevelt National Park
1291,2009,586928.0,THRO,Theodore Roosevelt National Park
1292,2008,516804.0,THRO,Theodore Roosevelt National Park
1293,2007,456588.0,THRO,Theodore Roosevelt National Park
1294,2006,435359.0,THRO,Theodore Roosevelt National Park
1295,2005,493198.0,THRO,Theodore Roosevelt National Park
1296,2004,474589.0,THRO,Theodore Roosevelt National Park
1297,2003,490295.0,THRO,Theodore Roosevelt National Park
1298,2002,471551.0,THRO,Theodore Roosevelt National Park
1299,2001,446609.0,THRO,Theodore Roosevelt National Park
1300,2000,431813.0,THRO,Theodore Roosevelt National Park
1301,1999,431311.0,THRO,Theodore Roosevelt National Park
1302,1998,448286.0,THRO,Theodore Roosevelt National Park
1303,1997,393265.0,THRO,Theodore Roosevelt National Park
1304,1996,436081.0,THRO,Theodore Roosevelt National Park
1305,1995,460699.0,THRO,Theodore Roosevelt National Park
1306,1994,505349.0,THRO,Theodore Roosevelt National Park
1307,1993,475160.0,THRO,Theodore Roosevelt National Park
1308,1992,475937.0,THRO,Theodore Roosevelt National Park
1309,1991,468926.0,THRO,Theodore Roosevelt National Park
1310,1990,460718.0,THRO,Theodore Roosevelt National Park
1311,1989,459171.0,THRO,Theodore Roosevelt National Park
1312,1988,413527.0,THRO,Theodore Roosevelt National Park
1313,1987,424846.0,THRO,Theodore Roosevelt National Park
1314,1986,390553.0,THRO,Theodore Roosevelt National Park
1315,1985,377152.0,THRO,Theodore Roosevelt National Park
1316,1984,361139.0,THRO,Theodore Roosevelt National Park
1317,1983,415118.0,THRO,Theodore Roosevelt National Park
1318,1982,677014.0,THRO,Theodore Roosevelt National Park
1319,1981,702873.0,THRO,Theodore Roosevelt National Park
1320,1980,595734.0,THRO,Theodore Roosevelt National Park
1321,1979,591646.0,THRO,Theodore Roosevelt National Park
1322,2019,695911.0,CRLA,Crater Lake National Park
1323,2018,720659.0,CRLA,Crater Lake National Park
1324,2017,711749.0,CRLA,Crater Lake National Park
1325,2016,756344.0,CRLA,Crater Lake National Park
1326,2015,614712.0,CRLA,Crater Lake National Park
1327,2014,535508.0,CRLA,Crater Lake National Park
1328,2013,523027.0,CRLA,Crater Lake National Park
1329,2012,447251.0,CRLA,Crater Lake National Park
1330,2011,423551.0,CRLA,Crater Lake National Park
1331,2010,448319.0,CRLA,Crater Lake National Park
1332,2009,446516.0,CRLA,Crater Lake National Park
1333,2008,415686.0,CRLA,Crater Lake National Park
1334,2007,468958.0,CRLA,Crater Lake National Park
1335,2006,388972.0,CRLA,Crater Lake National Park
1336,2005,447240.0,CRLA,Crater Lake National Park
1337,2004,417066.0,CRLA,Crater Lake National Park
1338,2003,479183.0,CRLA,Crater Lake National Park
1339,2002,456620.0,CRLA,Crater Lake National Park
1340,2001,457373.0,CRLA,Crater Lake National Park
1341,2000,426883.0,CRLA,Crater Lake National Park
1342,1999,417992.0,CRLA,Crater Lake National Park
1343,1998,471865.0,CRLA,Crater Lake National Park
1344,1997,451548.0,CRLA,Crater Lake National Park
1345,1996,476957.0,CRLA,Crater Lake National Park
1346,1995,496041.0,CRLA,Crater Lake National Park
1347,1994,454215.0,CRLA,Crater Lake National Park
1348,1993,381747.0,CRLA,Crater Lake National Park
1349,1992,461668.0,CRLA,Crater Lake National Park
1350,1991,456931.0,CRLA,Crater Lake National Park
1351,1990,384941.0,CRLA,Crater Lake National Park
1352,1989,430734.0,CRLA,Crater Lake National Park
1353,1988,443430.0,CRLA,Crater Lake National Park
1354,1987,460550.0,CRLA,Crater Lake National Park
1355,1986,402789.0,CRLA,Crater Lake National Park
1356,1985,390604.0,CRLA,Crater Lake National Park
1357,1984,419829.0,CRLA,Crater Lake National Park
1358,1983,379008.0,CRLA,Crater Lake National Park
1359,1982,435589.0,CRLA,Crater Lake National Park
1360,1981,503404.0,CRLA,Crater Lake National Park
1361,1980,455143.0,CRLA,Crater Lake National Park
1362,1979,410749.0,CRLA,Crater Lake National Park
1363,2019,3034702.0,GLAC,Glacier National Park
1364,2018,2965309.0,GLAC,Glacier National Park
1365,2017,3305512.0,GLAC,Glacier National Park
1366,2016,2946681.0,GLAC,Glacier National Park
1367,2015,2366056.0,GLAC,Glacier National Park
1368,2014,2338528.0,GLAC,Glacier National Park
1369,2013,2190374.0,GLAC,Glacier National Park
1370,2012,2162035.0,GLAC,Glacier National Park
1371,2011,1853564.0,GLAC,Glacier National Park
1372,2010,2200048.0,GLAC,Glacier National Park
1373,2009,2031348.0,GLAC,Glacier National Park
1374,2008,1808027.0,GLAC,Glacier National Park
1375,2007,2083329.0,GLAC,Glacier National Park
1376,2006,1964399.0,GLAC,Glacier National Park
1377,2005,1925101.0,GLAC,Glacier National Park
1378,2004,2033933.0,GLAC,Glacier National Park
1379,2003,1664046.0,GLAC,Glacier National Park
1380,2002,1905689.0,GLAC,Glacier National Park
1381,2001,1680614.0,GLAC,Glacier National Park
1382,2000,1728693.0,GLAC,Glacier National Park
1383,1999,1684604.0,GLAC,Glacier National Park
1384,1998,1830944.0,GLAC,Glacier National Park
1385,1997,1708856.0,GLAC,Glacier National Park
1386,1996,1720805.0,GLAC,Glacier National Park
1387,1995,1839518.0,GLAC,Glacier National Park
1388,1994,2152989.0,GLAC,Glacier National Park
1389,1993,2141704.0,GLAC,Glacier National Park
1390,1992,2199767.0,GLAC,Glacier National Park
1391,1991,2096966.0,GLAC,Glacier National Park
1392,1990,1986737.0,GLAC,Glacier National Park
1393,1989,1821523.0,GLAC,Glacier National Park
1394,1988,1817733.0,GLAC,Glacier National Park
1395,1987,1660737.0,GLAC,Glacier National Park
1396,1986,1579151.0,GLAC,Glacier National Park
1397,1985,1603011.0,GLAC,Glacier National Park
1398,1984,1946703.0,GLAC,Glacier National Park
1399,1983,2203847.0,GLAC,Glacier National Park
1400,1982,1666114.0,GLAC,Glacier National Park
1401,1981,1786523.0,GLAC,Glacier National Park
1402,1980,1474578.0,GLAC,Glacier National Park
1403,1979,1446086.0,GLAC,Glacier National Park
1404,2019,923992.0,SAGU,Saguaro National Park
1405,2018,957405.0,SAGU,Saguaro National Park
1406,2017,964760.0,SAGU,Saguaro National Park
1407,2016,820426.0,SAGU,Saguaro National Park
1408,2015,753446.0,SAGU,Saguaro National Park
1409,2014,673572.0,SAGU,Saguaro National Park
1410,2013,678261.0,SAGU,Saguaro National Park
1411,2012,634286.0,SAGU,Saguaro National Park
1412,2011,610045.0,SAGU,Saguaro National Park
1413,2010,717614.0,SAGU,Saguaro National Park
1414,2009,665234.0,SAGU,Saguaro National Park
1415,2008,699137.0,SAGU,Saguaro National Park
1416,2007,658477.0,SAGU,Saguaro National Park
1417,2006,619983.0,SAGU,Saguaro National Park
1418,2005,727208.0,SAGU,Saguaro National Park
1419,2004,651464.0,SAGU,Saguaro National Park
1420,2003,643697.0,SAGU,Saguaro National Park
1421,2002,615045.0,SAGU,Saguaro National Park
1422,2001,725874.0,SAGU,Saguaro National Park
1423,2000,765195.0,SAGU,Saguaro National Park
1424,1999,749014.0,SAGU,Saguaro National Park
1425,1998,716160.0,SAGU,Saguaro National Park
1426,1997,739410.0,SAGU,Saguaro National Park
1427,1996,671643.0,SAGU,Saguaro National Park
1428,1995,732813.0,SAGU,Saguaro National Park
1429,1994,768685.0,SAGU,Saguaro National Park
1430,1993,828267.0,SAGU,Saguaro National Park
1431,1992,810059.0,SAGU,Saguaro National Park
1432,1991,679034.0,SAGU,Saguaro National Park
1433,1990,702328.0,SAGU,Saguaro National Park
1434,1989,706191.0,SAGU,Saguaro National Park
1435,1988,675397.0,SAGU,Saguaro National Park
1436,1987,689933.0,SAGU,Saguaro National Park
1437,1986,613651.0,SAGU,Saguaro National Park
1438,1985,636711.0,SAGU,Saguaro National Park
1439,1984,699292.0,SAGU,Saguaro National Park
1440,1983,634688.0,SAGU,Saguaro National Park
1441,1982,566807.0,SAGU,Saguaro National Park
1442,1981,470598.0,SAGU,Saguaro National Park
1443,1980,611317.0,SAGU,Saguaro National Park
1444,1979,566486.0,SAGU,Saguaro National Park
1445,2019,3359181.0,GRTE,Grand Teton National Park
1446,2018,3491151.0,GRTE,Grand Teton National Park
1447,2017,3317000.0,GRTE,Grand Teton National Park
1448,2016,3270076.0,GRTE,Grand Teton National Park
1449,2015,3149921.0,GRTE,Grand Teton National Park
1450,2014,2791392.0,GRTE,Grand Teton National Park
1451,2013,2688794.0,GRTE,Grand Teton National Park
1452,2012,2705256.0,GRTE,Grand Teton National Park
1453,2011,2587437.0,GRTE,Grand Teton National Park
1454,2010,2669374.0,GRTE,Grand Teton National Park
1455,2009,2580081.0,GRTE,Grand Teton National Park
1456,2008,2485987.0,GRTE,Grand Teton National Park
1457,2007,2588574.0,GRTE,Grand Teton National Park
1458,2006,2406476.0,GRTE,Grand Teton National Park
1459,2005,2463442.0,GRTE,Grand Teton National Park
1460,2004,2360373.0,GRTE,Grand Teton National Park
1461,2003,2355693.0,GRTE,Grand Teton National Park
1462,2002,2612629.0,GRTE,Grand Teton National Park
1463,2001,2535108.0,GRTE,Grand Teton National Park
1464,2000,2590624.0,GRTE,Grand Teton National Park
1465,1999,2680025.0,GRTE,Grand Teton National Park
1466,1998,2757060.0,GRTE,Grand Teton National Park
1467,1997,2658762.0,GRTE,Grand Teton National Park
1468,1996,2733439.0,GRTE,Grand Teton National Park
1469,1995,2731015.0,GRTE,Grand Teton National Park
1470,1994,2540699.0,GRTE,Grand Teton National Park
1471,1993,2568689.0,GRTE,Grand Teton National Park
1472,1992,1744636.0,GRTE,Grand Teton National Park
1473,1991,1625752.0,GRTE,Grand Teton National Park
1474,1990,1588253.0,GRTE,Grand Teton National Park
1475,1989,1331659.0,GRTE,Grand Teton National Park
1476,1988,1232691.0,GRTE,Grand Teton National Park
1477,1987,1450791.0,GRTE,Grand Teton National Park
1478,1986,1306322.0,GRTE,Grand Teton National Park
1479,1985,1334483.0,GRTE,Grand Teton National Park
1480,1984,1360898.0,GRTE,Grand Teton National Park
1481,1983,1532035.0,GRTE,Grand Teton National Park
1482,1982,2534029.0,GRTE,Grand Teton National Park
1483,1981,2643644.0,GRTE,Grand Teton National Park
1484,1980,2555627.0,GRTE,Grand Teton National Park
1485,1979,2446171.0,GRTE,Grand Teton National Park
1486,2019,522951.0,GRSA,Great Sand Dunes National Park
1487,2018,442905.0,GRSA,Great Sand Dunes National Park
1488,2017,486935.0,GRSA,Great Sand Dunes National Park
1489,2016,388308.0,GRSA,Great Sand Dunes National Park
1490,2015,299513.0,GRSA,Great Sand Dunes National Park
1491,2014,271774.0,GRSA,Great Sand Dunes National Park
1492,2013,242841.0,GRSA,Great Sand Dunes National Park
1493,2012,254674.0,GRSA,Great Sand Dunes National Park
1494,2011,280058.0,GRSA,Great Sand Dunes National Park
1495,2010,283284.0,GRSA,Great Sand Dunes National Park
1496,2009,289955.0,GRSA,Great Sand Dunes National Park
1497,2008,273903.0,GRSA,Great Sand Dunes National Park
1498,2007,285121.0,GRSA,Great Sand Dunes National Park
1499,2006,258660.0,GRSA,Great Sand Dunes National Park
1500,2005,279589.0,GRSA,Great Sand Dunes National Park
1501,2004,267204.0,GRSA,Great Sand Dunes National Park
1502,2003,251375.0,GRSA,Great Sand Dunes National Park
1503,2002,234776.0,GRSA,Great Sand Dunes National Park
1504,2001,277523.0,GRSA,Great Sand Dunes National Park
1505,2000,260789.0,GRSA,Great Sand Dunes National Park
1506,1999,286745.0,GRSA,Great Sand Dunes National Park
1507,1998,279768.0,GRSA,Great Sand Dunes National Park
1508,1997,309855.0,GRSA,Great Sand Dunes National Park
1509,1996,309283.0,GRSA,Great Sand Dunes National Park
1510,1995,323663.0,GRSA,Great Sand Dunes National Park
1511,1994,312225.0,GRSA,Great Sand Dunes National Park
1512,1993,294282.0,GRSA,Great Sand Dunes National Park
1513,1992,290654.0,GRSA,Great Sand Dunes National Park
1514,1991,295070.0,GRSA,Great Sand Dunes National Park
1515,1990,272136.0,GRSA,Great Sand Dunes National Park
1516,1989,266321.0,GRSA,Great Sand Dunes National Park
1517,1988,274286.0,GRSA,Great Sand Dunes National Park
1518,1987,225937.0,GRSA,Great Sand Dunes National Park
1519,1986,221449.0,GRSA,Great Sand Dunes National Park
1520,1985,182713.0,GRSA,Great Sand Dunes National Park
1521,1984,141833.0,GRSA,Great Sand Dunes National Park
1522,1983,150177.0,GRSA,Great Sand Dunes National Park
1523,1982,175273.0,GRSA,Great Sand Dunes National Park
1524,1981,172505.0,GRSA,Great Sand Dunes National Park
1525,1980,142427.0,GRSA,Great Sand Dunes National Park
1526,1979,162546.0,GRSA,Great Sand Dunes National Park
1527,2019,427381.0,BLCA,Black Canyon of the Gunnison National Park
1528,2018,308962.0,BLCA,Black Canyon of the Gunnison National Park
1529,2017,307143.0,BLCA,Black Canyon of the Gunnison National Park
1530,2016,238018.0,BLCA,Black Canyon of the Gunnison National Park
1531,2015,209166.0,BLCA,Black Canyon of the Gunnison National Park
1532,2014,183045.0,BLCA,Black Canyon of the Gunnison National Park
1533,2013,175852.0,BLCA,Black Canyon of the Gunnison National Park
1534,2012,192570.0,BLCA,Black Canyon of the Gunnison National Park
1535,2011,168336.0,BLCA,Black Canyon of the Gunnison National Park
1536,2010,176344.0,BLCA,Black Canyon of the Gunnison National Park
1537,2009,171451.0,BLCA,Black Canyon of the Gunnison National Park
1538,2008,160185.0,BLCA,Black Canyon of the Gunnison National Park
1539,2007,219576.0,BLCA,Black Canyon of the Gunnison National Park
1540,2006,160450.0,BLCA,Black Canyon of the Gunnison National Park
1541,2005,180814.0,BLCA,Black Canyon of the Gunnison National Park
1542,2004,175581.0,BLCA,Black Canyon of the Gunnison National Park
1543,2003,167247.0,BLCA,Black Canyon of the Gunnison National Park
1544,2002,173687.0,BLCA,Black Canyon of the Gunnison National Park
1545,2001,181018.0,BLCA,Black Canyon of the Gunnison National Park
1546,2000,191506.0,BLCA,Black Canyon of the Gunnison National Park
1547,1999,200142.0,BLCA,Black Canyon of the Gunnison National Park
1548,1998,193451.0,BLCA,Black Canyon of the Gunnison National Park
1549,1997,209863.0,BLCA,Black Canyon of the Gunnison National Park
1550,1996,200125.0,BLCA,Black Canyon of the Gunnison National Park
1551,1995,221113.0,BLCA,Black Canyon of the Gunnison National Park
1552,1994,214194.0,BLCA,Black Canyon of the Gunnison National Park
1553,1993,319322.0,BLCA,Black Canyon of the Gunnison National Park
1554,1992,337209.0,BLCA,Black Canyon of the Gunnison National Park
1555,1991,316336.0,BLCA,Black Canyon of the Gunnison National Park
1556,1990,275323.0,BLCA,Black Canyon of the Gunnison National Park
1557,1989,288586.0,BLCA,Black Canyon of the Gunnison National Park
1558,1988,269073.0,BLCA,Black Canyon of the Gunnison National Park
1559,1987,285439.0,BLCA,Black Canyon of the Gunnison National Park
1560,1986,289117.0,BLCA,Black Canyon of the Gunnison National Park
1561,1985,266012.0,BLCA,Black Canyon of the Gunnison National Park
1562,1984,253048.0,BLCA,Black Canyon of the Gunnison National Park
1563,1983,291618.0,BLCA,Black Canyon of the Gunnison National Park
1564,1982,227428.0,BLCA,Black Canyon of the Gunnison National Park
1565,1981,266604.0,BLCA,Black Canyon of the Gunnison National Park
1566,1980,336119.0,BLCA,Black Canyon of the Gunnison National Park
1567,1979,234286.0,BLCA,Black Canyon of the Gunnison National Park
1568,2019,417867.0,BIBE,Big Bend National Park
1569,2018,440091.0,BIBE,Big Bend National Park
1570,2017,440276.0,BIBE,Big Bend National Park
1571,2016,388290.0,BIBE,Big Bend National Park
1572,2015,381747.0,BIBE,Big Bend National Park
1573,2014,314102.0,BIBE,Big Bend National Park
1574,2013,316953.0,BIBE,Big Bend National Park
1575,2012,292055.0,BIBE,Big Bend National Park
1576,2011,361862.0,BIBE,Big Bend National Park
1577,2010,372330.0,BIBE,Big Bend National Park
1578,2009,363905.0,BIBE,Big Bend National Park
1579,2008,362512.0,BIBE,Big Bend National Park
1580,2007,364856.0,BIBE,Big Bend National Park
1581,2006,298717.0,BIBE,Big Bend National Park
1582,2005,398583.0,BIBE,Big Bend National Park
1583,2004,357723.0,BIBE,Big Bend National Park
1584,2003,312384.0,BIBE,Big Bend National Park
1585,2002,327747.0,BIBE,Big Bend National Park
1586,2001,328927.0,BIBE,Big Bend National Park
1587,2000,262320.0,BIBE,Big Bend National Park
1588,1999,327649.0,BIBE,Big Bend National Park
1589,1998,338442.0,BIBE,Big Bend National Park
1590,1997,305882.0,BIBE,Big Bend National Park
1591,1996,279454.0,BIBE,Big Bend National Park
1592,1995,295460.0,BIBE,Big Bend National Park
1593,1994,330417.0,BIBE,Big Bend National Park
1594,1993,327907.0,BIBE,Big Bend National Park
1595,1992,294535.0,BIBE,Big Bend National Park
1596,1991,296470.0,BIBE,Big Bend National Park
1597,1990,257378.0,BIBE,Big Bend National Park
1598,1989,281728.0,BIBE,Big Bend National Park
1599,1988,239595.0,BIBE,Big Bend National Park
1600,1987,227921.0,BIBE,Big Bend National Park
1601,1986,200622.0,BIBE,Big Bend National Park
1602,1985,188045.0,BIBE,Big Bend National Park
1603,1984,167665.0,BIBE,Big Bend National Park
1604,1983,164926.0,BIBE,Big Bend National Park
1605,1982,180144.0,BIBE,Big Bend National Park
1606,1981,167332.0,BIBE,Big Bend National Park
1607,1980,174008.0,BIBE,Big Bend National Park
1608,1979,282941.0,BIBE,Big Bend National Park
1609,2019,1546902.0,ARCH,Arches National Park
1610,2018,1663557.0,ARCH,Arches National Park
1611,2017,1539028.0,ARCH,Arches National Park
1612,2016,1585718.0,ARCH,Arches National Park
1613,2015,1399247.0,ARCH,Arches National Park
1614,2014,1284767.0,ARCH,Arches National Park
1615,2013,1082866.0,ARCH,Arches National Park
1616,2012,1070577.0,ARCH,Arches National Park
1617,2011,1040758.0,ARCH,Arches National Park
1618,2010,1014405.0,ARCH,Arches National Park
1619,2009,996312.0,ARCH,Arches National Park
1620,2008,928795.0,ARCH,Arches National Park
1621,2007,860181.0,ARCH,Arches National Park
1622,2006,833049.0,ARCH,Arches National Park
1623,2005,781670.0,ARCH,Arches National Park
1624,2004,733131.0,ARCH,Arches National Park
1625,2003,757781.0,ARCH,Arches National Park
1626,2002,769672.0,ARCH,Arches National Park
1627,2001,754026.0,ARCH,Arches National Park
1628,2000,786429.0,ARCH,Arches National Park
1629,1999,869980.0,ARCH,Arches National Park
1630,1998,837161.0,ARCH,Arches National Park
1631,1997,858525.0,ARCH,Arches National Park
1632,1996,856016.0,ARCH,Arches National Park
1633,1995,859374.0,ARCH,Arches National Park
1634,1994,777178.0,ARCH,Arches National Park
1635,1993,773678.0,ARCH,Arches National Park
1636,1992,799831.0,ARCH,Arches National Park
1637,1991,705882.0,ARCH,Arches National Park
1638,1990,620719.0,ARCH,Arches National Park
1639,1989,555809.0,ARCH,Arches National Park
1640,1988,520455.0,ARCH,Arches National Park
1641,1987,468916.0,ARCH,Arches National Park
1642,1986,419444.0,ARCH,Arches National Park
1643,1985,363464.0,ARCH,Arches National Park
1644,1984,345180.0,ARCH,Arches National Park
1645,1983,287875.0,ARCH,Arches National Park
1646,1982,339415.0,ARCH,Arches National Park
1647,1981,326508.0,ARCH,Arches National Park
1648,1980,290519.0,ARCH,Arches National Park
1649,1979,269840.0,ARCH,Arches National Park
1650,2019,5650031.0,GRCA,Grand Canyon National Park
1651,2018,6380495.0,GRCA,Grand Canyon National Park
1652,2017,6254238.0,GRCA,Grand Canyon National Park
1653,2016,5969811.0,GRCA,Grand Canyon National Park
1654,2015,5520736.0,GRCA,Grand Canyon National Park
1655,2014,4756771.0,GRCA,Grand Canyon National Park
1656,2013,4564840.0,GRCA,Grand Canyon National Park
1657,2012,4421352.0,GRCA,Grand Canyon National Park
1658,2011,4298178.0,GRCA,Grand Canyon National Park
1659,2010,4388386.0,GRCA,Grand Canyon National Park
1660,2009,4348068.0,GRCA,Grand Canyon National Park
1661,2008,4425314.0,GRCA,Grand Canyon National Park
1662,2007,4413668.0,GRCA,Grand Canyon National Park
1663,2006,4279439.0,GRCA,Grand Canyon National Park
1664,2005,4401522.0,GRCA,Grand Canyon National Park
1665,2004,4326234.0,GRCA,Grand Canyon National Park
1666,2003,4124900.0,GRCA,Grand Canyon National Park
1667,2002,4001974.0,GRCA,Grand Canyon National Park
1668,2001,4104809.0,GRCA,Grand Canyon National Park
1669,2000,4460228.0,GRCA,Grand Canyon National Park
1670,1999,4575124.0,GRCA,Grand Canyon National Park
1671,1998,4239682.0,GRCA,Grand Canyon National Park
1672,1997,4791668.0,GRCA,Grand Canyon National Park
1673,1996,4537703.0,GRCA,Grand Canyon National Park
1674,1995,4557645.0,GRCA,Grand Canyon National Park
1675,1994,4364316.0,GRCA,Grand Canyon National Park
1676,1993,4575602.0,GRCA,Grand Canyon National Park
1677,1992,4203545.0,GRCA,Grand Canyon National Park
1678,1991,3886031.0,GRCA,Grand Canyon National Park
1679,1990,3776685.0,GRCA,Grand Canyon National Park
1680,1989,3966209.0,GRCA,Grand Canyon National Park
1681,1988,3859886.0,GRCA,Grand Canyon National Park
1682,1987,3513030.0,GRCA,Grand Canyon National Park
1683,1986,3035787.0,GRCA,Grand Canyon National Park
1684,1985,2711529.0,GRCA,Grand Canyon National Park
1685,1984,2173584.0,GRCA,Grand Canyon National Park
1686,1983,2248082.0,GRCA,Grand Canyon National Park
1687,1982,2293127.0,GRCA,Grand Canyon National Park
1688,1981,2472270.0,GRCA,Grand Canyon National Park
1689,1980,2304973.0,GRCA,Grand Canyon National Park
1690,1979,2131716.0,GRCA,Grand Canyon National Park
1691,2019,548460.0,MEVE,Mesa Verde National Park
