Park,Code,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Decade
Lassen Volcanic National Park,LAVO,C,5.94263403,6.74263403,8.74263403,12.74263403,17.04263403,22.04263403,26.14263403,25.94263403,22.44263403,16.24263403,9.24263403,5.24263403,14.94263403,2070
Mount Rainier National Park,MORA,C,3.94263403,4.44263403,5.64263403,7.94263403,11.94263403,14.94263403,19.74263403,20.44263403,16.84263403,11.14263403,5.24263403,3.34263403,10.44263403,2070
Yosemite National Park,YOSE,C,10.74263403,14.04263403,17.14263403,21.14263403,25.04263403,29.74263403,34.54263403,34.24263403,30.94263403,25.44263403,16.64263403,10.94263403,22.54263403,2070
Wind Cave National Park,WICA,C,6.14263403,7.24263403,11.64263403,16.64263403,21.84263403,27.24263403,32.14263403,31.44263403,26.34263403,18.64263403,10.94263403,5.94263403,18.04263403,2070
North Cascades National Park,NOCA,C,7.24263403,9.44263403,12.94263403,16.64263403,20.84263403,23.44263403,27.14263403,27.54263403,23.64263403,16.34263403,10.04263403,6.54263403,16.84263403,2070
Voyageurs National Park,VOYA,C,-6.55736597,-2.45736597,4.14263403,13.24263403,20.54263403,25.24263403,27.64263403,26.64263403,21.14263403,13.14263403,3.64263403,-4.35736597,11.94263403,2070
Congaree National Park,CONG,C,15.64263403,17.94263403,22.34263403,26.54263403,30.64263403,34.04263403,35.74263403,34.64263403,31.64263403,26.94263403,22.14263403,17.04263403,26.34263403,2070
Carlsbad Caverns National Park,CAVE,C,16.04263403,18.74263403,22.44263403,26.94263403,31.64263403,35.84263403,35.64263403,34.74263403,31.54263403,26.74263403,21.14263403,16.24263403,26.54263403,2070
Zion National Park,ZION,C,14.64263403,16.94263403,21.34263403,25.84263403,31.94263403,37.74263403,40.64263403,39.14263403,35.14263403,28.04263403,19.84263403,14.14263403,27.14263403,2070
Theodore Roosevelt National Park,THRO,C,-1.45736597,1.64263403,7.84263403,16.74263403,22.54263403,27.44263403,31.94263403,31.74263403,25.24263403,16.84263403,6.94263403,0.04263403,15.64263403,2070
Crater Lake National Park,CRLA,C,3.74263403,4.04263403,5.44263403,7.74263403,12.04263403,16.74263403,22.74263403,23.24263403,19.64263403,13.54263403,5.74263403,3.44263403,11.54263403,2070
Glacier National Park,GLAC,C,1.54263403,4.04263403,8.54263403,14.54263403,20.44263403,24.44263403,29.04263403,28.64263403,22.04263403,13.64263403,5.24263403,0.54263403,14.44263403,2070
Saguaro National Park,SAGU,C,14.04263403,15.54263403,18.14263403,22.04263403,26.94263403,31.84263403,33.34263403,32.24263403,30.34263403,24.54263403,18.24263403,13.64263403,23.44263403,2070
Grand Teton National Park,GRTE,C,-0.85736597,1.84263403,6.64263403,11.04263403,16.54263403,22.04263403,27.54263403,27.04263403,21.34263403,13.54263403,4.24263403,-1.45736597,12.54263403,2070
Great Sand Dunes National Park,GRSA,C,4.04263403,6.34263403,10.54263403,15.84263403,21.34263403,27.14263403,29.44263403,27.84263403,24.24263403,18.14263403,9.84263403,4.74263403,16.64263403,2070
Black Canyon of the Gunnison National Park,BLCA,C,3.84263403,7.24263403,10.74263403,14.74263403,20.44263403,26.14263403,29.74263403,28.54263403,23.94263403,16.94263403,9.44263403,3.94263403,16.34263403,2070
Arches National Park,ARCH,C,9.34263403,13.34263403,20.34263403,24.34263403,30.34263403,36.34263403,40.34263403,38.34263403,33.34263403,25.34263403,15.34263403,9.34263403,24.24263403,2070
Grand Canyon National Park,GRCA,C,10.44263403,12.34263403,16.34263403,21.14263403,26.94263403,32.84263403,34.94263403,32.94263403,29.64263403,23.04263403,15.24263403,10.24263403,22.24263403,2070
Mesa Verde National Park,MEVE,C,6.54263403,8.54263403,12.64263403,17.14263403,22.64263403,28.74263403,31.74263403,30.14263403,25.94263403,19.14263403,12.04263403,6.64263403,18.54263403,2070
Cuyahoga Valley National Park,CUVA,C,3.64263403,5.44263403,10.44263403,17.44263403,23.24263403,28.54263403,30.64263403,29.64263403,25.74263403,19.24263403,12.84263403,5.84263403,17.74263403,2070
Glacier Bay National Park,GLBA,C,2.14263403,3.64263403,5.74263403,10.24263403,14.44263403,18.14263403,19.24263403,18.44263403,14.74263403,10.24263403,5.44263403,3.44263403,10.54263403,2070
Denali National Park,DENA,C,-10.25736597,-7.75736597,-1.05736597,7.14263403,15.74263403,22.24263403,22.94263403,19.44263403,13.44263403,1.84263403,-7.75736597,-8.65736597,5.64263403,2070
Rocky Mountain National Park,ROMO,C,0.44263403,1.64263403,5.44263403,9.04263403,14.14263403,19.94263403,23.84263403,22.64263403,18.24263403,11.94263403,4.54263403,0.24263403,11.04263403,2070
Joshua Tree National Park,JOTR,C,17.44263403,18.54263403,21.44263403,26.44263403,31.44263403,36.14263403,38.84263403,38.24263403,35.24263403,29.04263403,21.94263403,17.14263403,27.64263403,2070
Everglades National Park,EVER,C,27.24263403,28.54263403,29.64263403,31.54263403,33.54263403,34.74263403,35.54263403,35.44263403,34.64263403,32.94263403,30.24263403,28.14263403,31.84263403,2070
Badlands National Park,BADL,C,4.54263403,7.04263403,12.44263403,19.34263403,25.04263403,30.34263403,35.34263403,35.04263403,29.44263403,21.74263403,11.74263403,5.94263403,19.84263403,2070
Petrified Forest National Park,PEFO,C,11.04263403,14.14263403,18.04263403,22.64263403,28.14263403,33.54263403,35.24263403,33.44263403,30.14263403,24.04263403,16.54263403,10.94263403,23.24263403,2070
Hot Springs National Park,HOSP,C,13.14263403,15.74263403,20.54263403,25.44263403,29.24263403,33.54263403,36.14263403,36.44263403,32.14263403,26.14263403,19.54263403,13.74263403,25.14263403,2070
Indiana Dunes National Park,INDU,C,2.64263403,4.94263403,9.94263403,17.34263403,23.24263403,28.14263403,30.44263403,29.64263403,26.24263403,19.64263403,12.04263403,4.74263403,17.44263403,2070
Death Valley National Park,DEVA,C,21.74263403,25.24263403,30.14263403,34.84263403,40.44263403,45.64263403,49.24263403,48.24263403,43.74263403,36.14263403,27.44263403,20.74263403,35.34263403,2070
Olympic National Park,OLYM,C,7.86976941,10.26976941,13.26976941,16.86976941,20.56976941,23.16976941,26.26976941,26.46976941,23.36976941,16.86976941,11.06976941,8.66976941,17.06976941,2080
Acadia National Park,ACAD,C,2.76976941,4.76976941,8.36976941,14.86976941,21.36976941,26.46976941,29.26976941,28.86976941,24.46976941,17.86976941,11.96976941,5.96976941,16.46976941,2080
Great Smoky Mountains National Park,GRSM,C,7.76976941,9.66976941,13.86976941,19.46976941,22.76976941,25.96976941,27.26976941,27.16976941,24.96976941,20.76976941,14.46976941,9.56976941,18.66976941,2080
Redwood National Park,REDW,C,14.96976941,15.86976941,16.36976941,16.86976941,18.96976941,20.46976941,21.36976941,21.46976941,21.46976941,20.06976941,16.76976941,14.56976941,18.26976941,2080
Shenandoah National Park,SHEN,C,4.66976941,6.66976941,11.46976941,18.06976941,22.26976941,26.66976941,28.36976941,27.76976941,23.36976941,17.76976941,13.26976941,6.36976941,17.26976941,2080
Dry Tortugas National Park,DRTO,C,26.16976941,26.86976941,28.56976941,30.46976941,33.06976941,35.26976941,35.86976941,36.26976941,35.16976941,32.36976941,29.26976941,27.26976941,31.36976941,2080
Bryce Canyon National Park,BRCA,C,5.76976941,6.66976941,10.36976941,14.96976941,20.86976941,26.66976941,29.86976941,28.26976941,24.06976941,17.66976941,10.16976941,5.46976941,16.76976941,2080
Yellowstone National Park,YELL,C,2.06976941,3.86976941,7.96976941,12.46976941,18.06976941,23.36976941,29.36976941,28.96976941,22.76976941,14.66976941,6.26976941,1.26976941,14.26976941,2080
Sequoia National Park,SEQU,C,11.46976941,11.76976941,13.36976941,15.86976941,20.76976941,25.46976941,29.76976941,29.86976941,26.66976941,20.96976941,14.76976941,10.76976941,19.36976941,2080
Mammoth Cave National Park,MACA,C,9.76976941,12.46976941,17.86976941,23.96976941,28.26976941,32.26976941,34.26976941,33.86976941,30.46976941,24.46976941,17.96976941,11.46976941,23.16976941,2080
Great Basin National Park,GRBA,C,6.86976941,7.96976941,12.26976941,15.86976941,21.46976941,27.46976941,31.96976941,30.96976941,25.66976941,18.76976941,11.16976941,6.76976941,18.16976941,2080
Channel Islands National Park,CHIS,C,20.66976941,20.46976941,20.86976941,22.36976941,23.66976941,24.96976941,27.66976941,27.86976941,27.66976941,25.96976941,23.26976941,20.76976941,23.86976941,2080
Canyonlands National Park,CANY,C,6.76976941,10.16976941,16.16976941,21.06976941,27.06976941,33.26976941,36.76976941,35.06976941,29.96976941,22.26976941,13.26976941,6.76976941,21.66976941,2080
Biscayne National Park,BISC,C,26.36976941,27.16976941,27.96976941,29.16976941,30.86976941,32.66976941,33.66976941,33.76976941,33.16976941,31.36976941,29.26976941,27.36976941,30.26976941,2080
Guadalupe Mountains National Park,GUMO,C,12.66976941,14.46976941,18.16976941,22.36976941,27.06976941,31.26976941,30.66976941,29.86976941,26.96976941,22.76976941,17.26976941,12.66976941,22.26976941,2080
Kings Canyon National Park,KICA,C,15.36976941,15.46976941,17.66976941,19.76976941,25.16976941,29.56976941,33.66976941,33.86976941,30.96976941,25.26976941,18.66976941,13.96976941,23.36976941,2080
Capitol Reef National Park,CARE,C,7.36976941,10.26976941,14.96976941,20.36976941,25.66976941,31.56976941,34.46976941,33.16976941,28.86976941,21.26976941,12.86976941,7.16976941,20.76976941,2080
Pinnacles National Park,PINN,C,19.56976941,20.26976941,22.26976941,25.16976941,29.66976941,34.16976941,38.16976941,37.96976941,35.36976941,30.46976941,23.66976941,19.36976941,28.06976941,2080
Lassen Volcanic National Park,LAVO,C,6.66976941,7.46976941,9.46976941,13.46976941,17.76976941,22.76976941,26.86976941,26.66976941,23.16976941,16.96976941,9.96976941,5.96976941,15.66976941,2080
Mount Rainier National Park,MORA,C,4.66976941,5.16976941,6.36976941,8.66976941,12.66976941,15.66976941,20.46976941,21.16976941,17.56976941,11.86976941,5.96976941,4.06976941,11.16976941,2080
Yosemite National Park,YOSE,C,11.46976941,14.76976941,17.86976941,21.86976941,25.76976941,30.46976941,35.26976941,34.96976941,31.66976941,26.16976941,17.36976941,11.66976941,23.26976941,2080
Wind Cave National Park,WICA,C,6.86976941,7.96976941,12.36976941,17.36976941,22.56976941,27.96976941,32.86976941,32.16976941,27.06976941,19.36976941,11.66976941,6.66976941,18.76976941,2080
North Cascades National Park,NOCA,C,7.96976941,10.16976941,13.66976941,17.36976941,21.56976941,24.16976941,27.86976941,28.26976941,24.36976941,17.06976941,10.76976941,7.26976941,17.56976941,2080
Voyageurs National Park,VOYA,C,-5.83023059,-1.73023059,4.86976941,13.96976941,21.26976941,25.96976941,28.36976941,27.36976941,21.86976941,13.86976941,4.36976941,-3.63023059,12.66976941,2080
Congaree National Park,CONG,C,16.36976941,18.66976941,23.06976941,27.26976941,31.36976941,34.76976941,36.46976941,35.36976941,32.36976941,27.66976941,22.86976941,17.76976941,27.06976941,2080
Carlsbad Caverns National Park,CAVE,C,16.76976941,19.46976941,23.16976941,27.66976941,32.36976941,36.56976941,36.36976941,35.46976941,32.26976941,27.46976941,21.86976941,16.96976941,27.26976941,2080
Zion National Park,ZION,C,15.36976941,17.66976941,22.06976941,26.56976941,32.66976941,38.46976941,41.36976941,39.86976941,35.86976941,28.76976941,20.56976941,14.86976941,27.86976941,2080
Theodore Roosevelt National Park,THRO,C,-0.73023059,2.36976941,8.56976941,17.46976941,23.26976941,28.16976941,32.66976941,32.46976941,25.96976941,17.56976941,7.66976941,0.76976941,16.36976941,2080
Crater Lake National Park,CRLA,C,4.46976941,4.76976941,6.16976941,8.46976941,12.76976941,17.46976941,23.46976941,23.96976941,20.36976941,14.26976941,6.46976941,4.16976941,12.26976941,2080
Glacier National Park,GLAC,C,2.26976941,4.76976941,9.26976941,15.26976941,21.16976941,25.16976941,29.76976941,29.36976941,22.76976941,14.36976941,5.96976941,1.26976941,15.16976941,2080
Saguaro National Park,SAGU,C,14.76976941,16.26976941,18.86976941,22.76976941,27.66976941,32.56976941,34.06976941,32.96976941,31.06976941,25.26976941,18.96976941,14.36976941,24.16976941,2080
Grand Teton National Park,GRTE,C,-0.13023059,2.56976941,7.36976941,11.76976941,17.26976941,22.76976941,28.26976941,27.76976941,22.06976941,14.26976941,4.96976941,-0.73023059,13.26976941,2080
Great Sand Dunes National Park,GRSA,C,4.76976941,7.06976941,11.26976941,16.56976941,22.06976941,27.86976941,30.16976941,28.56976941,24.96976941,18.86976941,10.56976941,5.46976941,17.36976941,2080
Black Canyon of the Gunnison National Park,BLCA,C,4.56976941,7.96976941,11.46976941,15.46976941,21.16976941,26.86976941,30.46976941,29.26976941,24.66976941,17.66976941,10.16976941,4.66976941,17.06976941,2080
Arches National Park,ARCH,C,10.06976941,14.06976941,21.06976941,25.06976941,31.06976941,37.06976941,41.06976941,39.06976941,34.06976941,26.06976941,16.06976941,10.06976941,24.96976941,2080
Grand Canyon National Park,GRCA,C,11.16976941,13.06976941,17.06976941,21.86976941,27.66976941,33.56976941,35.66976941,33.66976941,30.36976941,23.76976941,15.96976941,10.96976941,22.96976941,2080
Mesa Verde National Park,MEVE,C,7.26976941,9.26976941,13.36976941,17.86976941,23.36976941,29.46976941,32.46976941,30.86976941,26.66976941,19.86976941,12.76976941,7.36976941,19.26976941,2080
Cuyahoga Valley National Park,CUVA,C,4.36976941,6.16976941,11.16976941,18.16976941,23.96976941,29.26976941,31.36976941,30.36976941,26.46976941,19.96976941,13.56976941,6.56976941,18.46976941,2080
Glacier Bay National Park,GLBA,C,2.86976941,4.36976941,6.46976941,10.96976941,15.16976941,18.86976941,19.96976941,19.16976941,15.46976941,10.96976941,6.16976941,4.16976941,11.26976941,2080
Denali National Park,DENA,C,-9.53023059,-7.03023059,-0.33023059,7.86976941,16.46976941,22.96976941,23.66976941,20.16976941,14.16976941,2.56976941,-7.03023059,-7.93023059,6.36976941,2080
Rocky Mountain National Park,ROMO,C,1.16976941,2.36976941,6.16976941,9.76976941,14.86976941,20.66976941,24.56976941,23.36976941,18.96976941,12.66976941,5.26976941,0.96976941,11.76976941,2080
Joshua Tree National Park,JOTR,C,18.16976941,19.26976941,22.16976941,27.16976941,32.16976941,36.86976941,39.56976941,38.96976941,35.96976941,29.76976941,22.66976941,17.86976941,28.36976941,2080
Everglades National Park,EVER,C,27.96976941,29.26976941,30.36976941,32.26976941,34.26976941,35.46976941,36.26976941,36.16976941,35.36976941,33.66976941,30.96976941,28.86976941,32.56976941,2080
Badlands National Park,BADL,C,5.26976941,7.76976941,13.16976941,20.06976941,25.76976941,31.06976941,36.06976941,35.76976941,30.16976941,22.46976941,12.46976941,6.66976941,20.56976941,2080
Petrified Forest National Park,PEFO,C,11.76976941,14.86976941,18.76976941,23.36976941,28.86976941,34.26976941,35.96976941,34.16976941,30.86976941,24.76976941,17.26976941,11.66976941,23.96976941,2080
Hot Springs National Park,HOSP,C,13.86976941,16.46976941,21.26976941,26.16976941,29.96976941,34.26976941,36.86976941,37.16976941,32.86976941,26.86976941,20.26976941,14.46976941,25.86976941,2080
Indiana Dunes National Park,INDU,C,3.36976941,5.66976941,10.66976941,18.06976941,23.96976941,28.86976941,31.16976941,30.36976941,26.96976941,20.36976941,12.76976941,5.46976941,18.16976941,2080
Death Valley National Park,DEVA,C,22.46976941,25.96976941,30.86976941,35.56976941,41.16976941,46.36976941,49.96976941,48.96976941,44.46976941,36.86976941,28.16976941,21.46976941,36.06976941,2080
Olympic National Park,OLYM,C,8.64637341,11.04637341,14.04637341,17.64637341,21.34637341,23.94637341,27.04637341,27.24637341,24.14637341,17.64637341,11.84637341,9.44637341,17.84637341,2090
Acadia National Park,ACAD,C,3.54637341,5.54637341,9.14637341,15.64637341,22.14637341,27.24637341,30.04637341,29.64637341,25.24637341,18.64637341,12.74637341,6.74637341,17.24637341,2090
Great Smoky Mountains National Park,GRSM,C,8.54637341,10.44637341,14.64637341,20.24637341,23.54637341,26.74637341,28.04637341,27.94637341,25.74637341,21.54637341,15.24637341,10.34637341,19.44637341,2090
Redwood National Park,REDW,C,15.74637341,16.64637341,17.14637341,17.64637341,19.74637341,21.24637341,22.14637341,22.24637341,22.24637341,20.84637341,17.54637341,15.34637341,19.04637341,2090
Shenandoah National Park,SHEN,C,5.44637341,7.44637341,12.24637341,18.84637341,23.04637341,27.44637341,29.14637341,28.54637341,24.14637341,18.54637341,14.04637341,7.14637341,18.04637341,2090
Dry Tortugas National Park,DRTO,C,26.94637341,27.64637341,29.34637341,31.24637341,33.84637341,36.04637341,36.64637341,37.04637341,35.94637341,33.14637341,30.04637341,28.04637341,32.14637341,2090
Bryce Canyon National Park,BRCA,C,6.54637341,7.44637341,11.14637341,15.74637341,21.64637341,27.44637341,30.64637341,29.04637341,24.84637341,18.44637341,10.94637341,6.24637341,17.54637341,2090
Yellowstone National Park,YELL,C,2.84637341,4.64637341,8.74637341,13.24637341,18.84637341,24.14637341,30.14637341,29.74637341,23.54637341,15.44637341,7.04637341,2.04637341,15.04637341,2090
Sequoia National Park,SEQU,C,12.24637341,12.54637341,14.14637341,16.64637341,21.54637341,26.24637341,30.54637341,30.64637341,27.44637341,21.74637341,15.54637341,11.54637341,20.14637341,2090
Mammoth Cave National Park,MACA,C,10.54637341,13.24637341,18.64637341,24.74637341,29.04637341,33.04637341,35.04637341,34.64637341,31.24637341,25.24637341,18.74637341,12.24637341,23.94637341,2090
Great Basin National Park,GRBA,C,7.64637341,8.74637341,13.04637341,16.64637341,22.24637341,28.24637341,32.74637341,31.74637341,26.44637341,19.54637341,11.94637341,7.54637341,18.94637341,2090
Channel Islands National Park,CHIS,C,21.44637341,21.24637341,21.64637341,23.14637341,24.44637341,25.74637341,28.44637341,28.64637341,28.44637341,26.74637341,24.04637341,21.54637341,24.64637341,2090
Canyonlands National Park,CANY,C,7.54637341,10.94637341,16.94637341,21.84637341,27.84637341,34.04637341,37.54637341,35.84637341,30.74637341,23.04637341,14.04637341,7.54637341,22.44637341,2090
Biscayne National Park,BISC,C,27.14637341,27.94637341,28.74637341,29.94637341,31.64637341,33.44637341,34.44637341,34.54637341,33.94637341,32.14637341,30.04637341,28.14637341,31.04637341,2090
Guadalupe Mountains National Park,GUMO,C,13.44637341,15.24637341,18.94637341,23.14637341,27.84637341,32.04637341,31.44637341,30.64637341,27.74637341,23.54637341,18.04637341,13.44637341,23.04637341,2090
Kings Canyon National Park,KICA,C,16.14637341,16.24637341,18.44637341,20.54637341,25.94637341,30.34637341,34.44637341,34.64637341,31.74637341,26.04637341,19.44637341,14.74637341,24.14637341,2090
Capitol Reef National Park,CARE,C,8.14637341,11.04637341,15.74637341,21.14637341,26.44637341,32.34637341,35.24637341,33.94637341,29.64637341,22.04637341,13.64637341,7.94637341,21.54637341,2090
Pinnacles National Park,PINN,C,20.34637341,21.04637341,23.04637341,25.94637341,30.44637341,34.94637341,38.94637341,38.74637341,36.14637341,31.24637341,24.44637341,20.14637341,28.84637341,2090
Lassen Volcanic National Park,LAVO,C,7.44637341,8.24637341,10.24637341,14.24637341,18.54637341,23.54637341,27.64637341,27.44637341,23.94637341,17.74637341,10.74637341,6.74637341,16.44637341,2090
Mount Rainier National Park,MORA,C,5.44637341,5.94637341,7.14637341,9.44637341,13.44637341,16.44637341,21.24637341,21.94637341,18.34637341,12.64637341,6.74637341,4.84637341,11.94637341,2090
Yosemite National Park,YOSE,C,12.24637341,15.54637341,18.64637341,22.64637341,26.54637341,31.24637341,36.04637341,35.74637341,32.44637341,26.94637341,18.14637341,12.44637341,24.04637341,2090
Wind Cave National Park,WICA,C,7.64637341,8.74637341,13.14637341,18.14637341,23.34637341,28.74637341,33.64637341,32.94637341,27.84637341,20.14637341,12.44637341,7.44637341,19.54637341,2090
North Cascades National Park,NOCA,C,8.74637341,10.94637341,14.44637341,18.14637341,22.34637341,24.94637341,28.64637341,29.04637341,25.14637341,17.84637341,11.54637341,8.04637341,18.34637341,2090
Voyageurs National Park,VOYA,C,-5.05362659,-0.95362659,5.64637341,14.74637341,22.04637341,26.74637341,29.14637341,28.14637341,22.64637341,14.64637341,5.14637341,-2.85362659,13.44637341,2090
Congaree National Park,CONG,C,17.14637341,19.44637341,23.84637341,28.04637341,32.14637341,35.54637341,37.24637341,36.14637341,33.14637341,28.44637341,23.64637341,18.54637341,27.84637341,2090
Carlsbad Caverns National Park,CAVE,C,17.54637341,20.24637341,23.94637341,28.44637341,33.14637341,37.34637341,37.14637341,36.24637341,33.04637341,28.24637341,22.64637341,17.74637341,28.04637341,2090
Zion National Park,ZION,C,16.14637341,18.44637341,22.84637341,27.34637341,33.44637341,39.24637341,42.14637341,40.64637341,36.64637341,29.54637341,21.34637341,15.64637341,28.64637341,2090
Theodore Roosevelt National Park,THRO,C,0.04637341,3.14637341,9.34637341,18.24637341,24.04637341,28.94637341,33.44637341,33.24637341,26.74637341,18.34637341,8.44637341,1.54637341,17.14637341,2090
Crater Lake National Park,CRLA,C,5.24637341,5.54637341,6.94637341,9.24637341,13.54637341,18.24637341,24.24637341,24.74637341,21.14637341,15.04637341,7.24637341,4.94637341,13.04637341,2090
Glacier National Park,GLAC,C,3.04637341,5.54637341,10.04637341,16.04637341,21.94637341,25.94637341,30.54637341,30.14637341,23.54637341,15.14637341,6.74637341,2.04637341,15.94637341,2090
Saguaro National Park,SAGU,C,15.54637341,17.04637341,19.64637341,23.54637341,28.44637341,33.34637341,34.84637341,33.74637341,31.84637341,26.04637341,19.74637341,15.14637341,24.94637341,2090
Grand Teton National Park,GRTE,C,0.64637341,3.34637341,8.14637341,12.54637341,18.04637341,23.54637341,29.04637341,28.54637341,22.84637341,15.04637341,5.74637341,0.04637341,14.04637341,2090
Great Sand Dunes National Park,GRSA,C,5.54637341,7.84637341,12.04637341,17.34637341,22.84637341,28.64637341,30.94637341,29.34637341,25.74637341,19.64637341,11.34637341,6.24637341,18.14637341,2090
Black Canyon of the Gunnison National Park,BLCA,C,5.34637341,8.74637341,12.24637341,16.24637341,21.94637341,27.64637341,31.24637341,30.04637341,25.44637341,18.44637341,10.94637341,5.44637341,17.84637341,2090
Arches National Park,ARCH,C,10.84637341,14.84637341,21.84637341,25.84637341,31.84637341,37.84637341,41.84637341,39.84637341,34.84637341,26.84637341,16.84637341,10.84637341,25.74637341,2090
Grand Canyon National Park,GRCA,C,11.94637341,13.84637341,17.84637341,22.64637341,28.44637341,34.34637341,36.44637341,34.44637341,31.14637341,24.54637341,16.74637341,11.74637341,23.74637341,2090
Mesa Verde National Park,MEVE,C,8.04637341,10.04637341,14.14637341,18.64637341,24.14637341,30.24637341,33.24637341,31.64637341,27.44637341,20.64637341,13.54637341,8.14637341,20.04637341,2090
Cuyahoga Valley National Park,CUVA,C,5.14637341,6.94637341,11.94637341,18.94637341,24.74637341,30.04637341,32.14637341,31.14637341,27.24637341,20.74637341,14.34637341,7.34637341,19.24637341,2090
Glacier Bay National Park,GLBA,C,3.64637341,5.14637341,7.24637341,11.74637341,15.94637341,19.64637341,20.74637341,19.94637341,16.24637341,11.74637341,6.94637341,4.94637341,12.04637341,2090
Denali National Park,DENA,C,-8.75362659,-6.25362659,0.44637341,8.64637341,17.24637341,23.74637341,24.44637341,20.94637341,14.94637341,3.34637341,-6.25362659,-7.15362659,7.14637341,2090
Rocky Mountain National Park,ROMO,C,1.94637341,3.14637341,6.94637341,10.54637341,15.64637341,21.44637341,25.34637341,24.14637341,19.74637341,13.44637341,6.04637341,1.74637341,12.54637341,2090
Joshua Tree National Park,JOTR,C,18.94637341,20.04637341,22.94637341,27.94637341,32.94637341,37.64637341,40.34637341,39.74637341,36.74637341,30.54637341,23.44637341,18.64637341,29.14637341,2090
Everglades National Park,EVER,C,28.74637341,30.04637341,31.14637341,33.04637341,35.04637341,36.24637341,37.04637341,36.94637341,36.14637341,34.44637341,31.74637341,29.64637341,33.34637341,2090
Badlands National Park,BADL,C,6.04637341,8.54637341,13.94637341,20.84637341,26.54637341,31.84637341,36.84637341,36.54637341,30.94637341,23.24637341,13.24637341,7.44637341,21.34637341,2090
Petrified Forest National Park,PEFO,C,12.54637341,15.64637341,19.54637341,24.14637341,29.64637341,35.04637341,36.74637341,34.94637341,31.64637341,25.54637341,18.04637341,12.44637341,24.74637341,2090
Hot Springs National Park,HOSP,C,14.64637341,17.24637341,22.04637341,26.94637341,30.74637341,35.04637341,37.64637341,37.94637341,33.64637341,27.64637341,21.04637341,15.24637341,26.64637341,2090
Indiana Dunes National Park,INDU,C,4.14637341,6.44637341,11.44637341,18.84637341,24.74637341,29.64637341,31.94637341,31.14637341,27.74637341,21.14637341,13.54637341,6.24637341,18.94637341,2090
Death Valley National Park,DEVA,C,23.24637341,26.74637341,31.64637341,36.34637341,41.94637341,47.14637341,50.74637341,49.74637341,45.24637341,37.64637341,28.94637341,22.24637341,36.84637341,2090
Olympic National Park,OLYM,C,9.46284875,11.86284875,14.86284875,18.46284875,22.16284875,24.76284875,27.86284875,28.06284875,24.96284875,18.46284875,12.66284875,10.26284875,18.66284875,2100
Acadia National Park,ACAD,C,4.36284875,6.36284875,9.96284875,16.46284875,22.96284875,28.06284875,30.86284875,30.46284875,26.06284875,19.46284875,13.56284875,7.56284875,18.06284875,2100
Great Smoky Mountains National Park,GRSM,C,9.36284875,11.26284875,15.46284875,21.06284875,24.36284875,27.56284875,28.86284875,28.76284875,26.56284875,22.36284875,16.06284875,11.16284875,20.26284875,2100
Redwood National Park,REDW,C,16.56284875,17.46284875,17.96284875,18.46284875,20.56284875,22.06284875,22.96284875,23.06284875,23.06284875,21.66284875,18.36284875,16.16284875,19.86284875,2100
Shenandoah National Park,SHEN,C,6.26284875,8.26284875,13.06284875,19.66284875,23.86284875,28.26284875,29.96284875,29.36284875,24.96284875,19.36284875,14.86284875,7.96284875,18.86284875,2100
Dry Tortugas National Park,DRTO,C,27.76284875,28.46284875,30.16284875,32.06284875,34.66284875,36.86284875,37.46284875,37.86284875,36.76284875,33.96284875,30.86284875,28.86284875,32.96284875,2100
Bryce Canyon National Park,BRCA,C,7.36284875,8.26284875,11.96284875,16.56284875,22.46284875,28.26284875,31.46284875,29.86284875,25.66284875,19.26284875,11.76284875,7.06284875,18.36284875,2100
Yellowstone National Park,YELL,C,3.66284875,5.46284875,9.56284875,14.06284875,19.66284875,24.96284875,30.96284875,30.56284875,24.36284875,16.26284875,7.86284875,2.86284875,15.86284875,2100
Sequoia National Park,SEQU,C,13.06284875,13.36284875,14.96284875,17.46284875,22.36284875,27.06284875,31.36284875,31.46284875,28.26284875,22.56284875,16.36284875,12.36284875,20.96284875,2100
Mammoth Cave National Park,MACA,C,11.36284875,14.06284875,19.46284875,25.56284875,29.86284875,33.86284875,35.86284875,35.46284875,32.06284875,26.06284875,19.56284875,13.06284875,24.76284875,2100
Great Basin National Park,GRBA,C,8.46284875,9.56284875,13.86284875,17.46284875,23.06284875,29.06284875,33.56284875,32.56284875,27.26284875,20.36284875,12.76284875,8.36284875,19.76284875,2100
Channel Islands National Park,CHIS,C,22.26284875,22.06284875,22.46284875,23.96284875,25.26284875,26.56284875,29.26284875,29.46284875,29.26284875,27.56284875,24.86284875,22.36284875,25.46284875,2100
Canyonlands National Park,CANY,C,8.36284875,11.76284875,17.76284875,22.66284875,28.66284875,34.86284875,38.36284875,36.66284875,31.56284875,23.86284875,14.86284875,8.36284875,23.26284875,2100
Biscayne National Park,BISC,C,27.96284875,28.76284875,29.56284875,30.76284875,32.46284875,34.26284875,35.26284875,35.36284875,34.76284875,32.96284875,30.86284875,28.96284875,31.86284875,2100
Guadalupe Mountains National Park,GUMO,C,14.26284875,16.06284875,19.76284875,23.96284875,28.66284875,32.86284875,32.26284875,31.46284875,28.56284875,24.36284875,18.86284875,14.26284875,23.86284875,2100
